id,start_time,end_time,meters,service,calories,climb
b8717286-2d6d-11ea-befb-06fe85f8df16,2019-12-10-14:14:18,2019-12-10-14:26:47,3621.9,strava,0,0
b8717ff2-2d6d-11ea-befc-06fe85f8df16,2019-12-09-22:20:06,2019-12-09-22:32:06,3540.6,strava,0,0
b871a9fc-2d6d-11ea-befd-06fe85f8df16,2019-12-09-14:17:04,2019-12-09-14:29:49,3604.1,strava,0,0
b8729090-2d6d-11ea-befe-06fe85f8df16,2019-12-06-22:42:47,2019-12-06-22:56:44,3480.7,strava,0,0
b872fad3-2d6d-11ea-beff-06fe85f8df16,2019-12-06-14:05:35,2019-12-06-14:15:24,2802.7,strava,0,0
e69edc10-2d6b-11ea-a6c8-06fe85f8df16,2019-12-05-22:44:16,2019-12-05-23:24:45,5106.4,strava,0,0
a9cd03e2-2d44-11ea-bce6-06fe85f8df16,2019-12-05-13:54:47,2019-12-05-14:09:18,3710.6,strava,0,0
99939d9a-2a42-11ea-94b5-06fe85f8df16,2019-11-27-22:17:17,2019-11-27-22:31:33,4023.4,strava,0,0
ba80226d-28cf-11ea-b866-06fe85f8df16,2019-11-27-14:27:02,2019-11-27-14:39:13,3686,strava,0,0
3bc14355-27ef-11ea-ae5e-06fe85f8df16,2019-11-26-22:40:22,2019-11-26-22:55:15,3997.5,strava,0,0
d6111cce-26bc-11ea-8433-06fe85f8df16,2019-11-26-14:26:59,2019-11-26-14:38:55,3650.8,strava,0,0
898ff098-267f-11ea-ad19-06fe85f8df16,2019-11-25-22:13:08,2019-11-25-23:01:42,6229.1,strava,0,0
f586a6c2-25c2-11ea-aadb-06fe85f8df16,2019-11-25-13:59:04,2019-11-25-14:12:01,3635.6,strava,0,0
e19c0bc8-25ab-11ea-ae7a-06fe85f8df16,2019-11-22-22:41:42,2019-11-22-23:05:24,4360.4,strava,0,0
7a3ef13e-237f-11ea-ada8-06fe85f8df16,2019-11-22-13:55:51,2019-11-22-14:08:43,3667.4,strava,0,0
e8676192-2333-11ea-890d-06fe85f8df16,2019-11-21-23:44:59,2019-11-22-00:18:44,4557.5,strava,0,0
5588f44c-22e6-11ea-af54-06fe85f8df16,2019-11-21-13:52:19,2019-11-21-14:04:12,3574.5,strava,0,0
c5ae956e-2280-11ea-9a38-06fe85f8df16,2019-11-20-23:57:30,2019-11-21-00:15:22,4322.7,strava,0,0
a01174ff-225c-11ea-bdf9-06fe85f8df16,2019-11-20-14:41:53,2019-11-20-16:06:58,3020.5,strava,0,0
