id,start_time,end_time,meters,service,calories,climb
59fd552e-653e-11e9-8f87-02531640780c,2019-04-22-16:47:48,2019-04-22-17:37:56,5683.4004,runkeeper,369,35.344154
e14fcd34-6441-11e9-9f25-02531640780c,2019-04-21-13:53:35,2019-04-21-14:23:35,4023.36,runkeeper,290,0
21e11b9a-0569-11ea-8df9-06fe85f8df16,2019-04-08-06:33:40,2019-04-08-06:53:40,4023.4,strava,0,0
21e1286f-0569-11ea-8dfa-06fe85f8df16,2019-04-03-05:51:48,2019-04-03-06:26:48,6437.4,strava,0,0
21e14b6f-0569-11ea-8dfb-06fe85f8df16,2019-04-01-05:55:44,2019-04-01-06:21:36,4864.4,strava,0,3
21e16377-0569-11ea-8dfc-06fe85f8df16,2019-03-30-11:51:38,2019-03-30-12:26:29,5121,strava,0,4.9
21e184a1-0569-11ea-8dfd-06fe85f8df16,2019-03-26-19:45:19,2019-03-26-20:18:30,5158.4,strava,0,5.1
21e1a079-0569-11ea-8dfe-06fe85f8df16,2019-03-24-13:28:48,2019-03-24-14:05:23,5667.3,strava,0,2.4
21e1c04c-0569-11ea-8dff-06fe85f8df16,2019-03-20-07:36:45,2019-03-20-08:12:42,6680.8,strava,0,2
21e1dd9b-0569-11ea-8e00-06fe85f8df16,2019-03-17-12:17:11,2019-03-17-12:44:19,4697.3,strava,0,0
21e1fe2b-0569-11ea-8e01-06fe85f8df16,2019-02-24-16:01:46,2019-02-24-16:36:31,5465.8,strava,0,0
21e2104c-0569-11ea-8e02-06fe85f8df16,2019-01-28-18:16:51,2019-01-28-18:43:13,4567.6,strava,0,2.3
22563e4d-0569-11ea-8e1b-06fe85f8df16,2019-01-27-18:54:49,2019-01-27-19:24:40,4692.7,strava,0,7.2
225655f1-0569-11ea-8e1c-06fe85f8df16,2019-01-22-07:07:07,2019-01-22-07:29:37,4542,strava,0,2.4
22566f53-0569-11ea-8e1d-06fe85f8df16,2019-01-20-13:02:23,2019-01-20-13:32:27,5137,strava,0,6.8
22568959-0569-11ea-8e1e-06fe85f8df16,2019-01-15-06:53:42,2019-01-15-07:18:37,4522.8,strava,0,5.1
2256ad35-0569-11ea-8e1f-06fe85f8df16,2019-01-13-14:35:46,2019-01-13-15:11:51,5318.8,strava,0,6.8
2256c0ea-0569-11ea-8e20-06fe85f8df16,2019-01-08-19:35:53,2019-01-08-20:12:37,5420.9,strava,0,9.7
2256d64e-0569-11ea-8e21-06fe85f8df16,2019-01-06-10:01:53,2019-01-06-10:39:40,6792.9,strava,0,18.9
2256e920-0569-11ea-8e22-06fe85f8df16,2018-11-23-07:07:08,2018-11-23-07:35:36,4911.4,strava,0,7.1
22570fbf-0569-11ea-8e23-06fe85f8df16,2018-09-08-09:48:55,2018-09-08-10:20:44,5372.8,strava,0,43.7
22572d9e-0569-11ea-8e24-06fe85f8df16,2018-09-04-06:14:10,2018-09-04-06:37:37,4458.7,strava,0,12.6
